responseid,site,condition,is_mindfulness,age,gender_label,country_live,country_birth,english_first_language,eng_level,meditation_naive,duration_in_seconds,progress,finished,stai_total,stai1,stai2,stai3,stai4,stai5,stai6,stai7,stai8,stai9,stai10,stai11,stai12,stai13,stai14,stai15,stai16,stai17,stai18,stai19,stai20,sam_valence,sam_arousal,sam_dominance,ipip1,ipip2,ipip3,ipip4,ipip5,ipip6,ipip7,ipip8,ipip9,ipip10,ipip11,ipip12,ipip13,ipip14,ipip15,ipip16,ipip17,ipip18,ipip19,ipip20,ipip_raw_mean
R_3CZosNvZazd3HMU,jose,mindful_breathing,1,18.0,male,United States,United States,1,3.0,1,1479,100,1,35.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,7.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.35
R_3MDKykuAHite3KL,macq,control_book,0,20.0,female,Australia,Australia,1,3.0,1,1385,100,1,23.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0,6.0,3.0,7.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.4
R_1Dvdn1EourocOEA,macq,loving_kindness,1,21.0,female,Australia,Australia,1,3.0,1,1232,100,1,36.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,6.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,3.05
R_3kdm9cQOmBGRs7k,suny,body_scan,1,20.0,female,United States,United States,1,3.0,1,1261,100,1,32.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,5.0,4.0,6.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,2.0,3.0
R_10VEAgPo9zRWEnx,macq,loving_kindness,1,18.0,female,Australia,Australia,1,2.0,1,1173,100,1,34.0,4.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,7.0,4.0,7.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.5
R_1JPFdkXOseMuGYy,macq,body_scan,1,32.0,male,Australia,Australia,1,2.0,1,1509,100,1,30.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,8.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0
R_1dtrsDnqsg7KcLW,macq,control_book,0,19.0,female,Australia,South Africa,1,3.0,1,1204,100,1,33.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,7.0,4.0,6.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0
R_3nAgujpKT0xyIk8,macq,control_book,0,22.0,male,Australia,Australia,1,3.0,1,1472,100,1,35.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,7.0,5.0,8.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.65
R_3fdfVmyLiNKm4UA,macq,body_scan,1,18.0,female,Austral,Australia,1,3.0,1,983,100,1,40.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,6.0,6.0,6.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.75
R_Y9qIROCiOBXB2ZX,macq,mindful_breathing,1,21.0,female,Australia,Australia,1,3.0,1,1152,100,1,28.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,4.0,8.0,4.0,7.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0
R_3e03LjLHnIATdZL,macq,loving_kindness,1,18.0,female,Australia,Australia,1,3.0,1,1173,100,1,32.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,7.0,3.0,5.0,2.0,4.0,2.0,3.0,5.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.85
R_2EasC5Np6fkYHL4,idah,loving_kindness,1,21.0,female,United States,United States,1,3.0,1,1302,100,1,37.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,7.0,4.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,2.7
R_1N2n7oNy4hHdWxF,idah,mindful_breathing,1,18.0,female,Unites States,United States,1,2.0,1,3212,100,1,31.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,9.0,1.0,7.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.65
R_3D0wOqrVrjgZAAN,macq,body_scan,1,18.0,female,Australia,Australia,1,3.0,1,2271,100,1,26.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,8.0,3.0,7.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,3.55
R_2aDpAM6y7GJ9n0t,quee,control_book,0,20.0,female,Australia,Australia,1,3.0,1,2337,100,1,40.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,7.0,7.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,2.9
R_VJsiZ0DnLfRtmX7,idah,body_scan,1,22.0,female,United States,Australia,1,3.0,1,1298,100,1,22.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,4.0,7.0,5.0,7.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.7
R_3qKI1Osa6syZZxl,aust,control_book,0,22.0,female,Australia,Australia,1,3.0,1,1315,100,1,38.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,7.0,5.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2.9
R_ALkqZvPSGga3TmV,quee,mindful_breathing,1,18.0,male,Australia,Hong Kong,0,2.0,1,1559,100,1,40.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,7.0,1.0,7.0,2.0,1.0,4.0,5.0,4.0,3.0,1.0,5.0,2.0,4.0,2.0,4.0,5.0,1.0,5.0,4.0,2.0,3.0,2.0,2.0,3.05
R_23X2cNukWJbV2hE,macq,mindful_breathing,1,18.0,female,Australia,Australia,1,3.0,1,1158,100,1,61.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,8.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,5.0,2.0,1.0,2.0,4.0,1.0,4.0,5.0,3.75
R_1CC1E13Ii5cJA2J,glen,loving_kindness,1,20.0,female,United States,United States,0,2.0,1,1984,100,1,35.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,7.0,2.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.35
R_WpWtYJjLPugxStr,macq,body_scan,1,44.0,female,Australia,Australia,1,2.0,1,1348,100,1,28.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,8.0,2.0,7.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.3
R_3p9EreXIt9jylUb,kons,loving_kindness,1,18.0,female,Germany,Germany,0,2.0,1,1362,100,1,27.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,3.0,4.0,8.0,6.0,6.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.25
R_3hoJ3rrktcBrUwB,quee,control_book,0,19.0,male,Australia,Australia,1,3.0,1,1950,100,1,34.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,7.0,2.0,5.0,2.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,3.35
R_1Fm0BTdO9CJOzNl,quee,body_scan,1,18.0,female,Australia,South Korea,0,2.0,1,1224,100,1,38.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,7.0,6.0,7.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,2.0,3.0,4.0,3.0,3.55
R_25vEpYUUewxq2yy,quee,mindful_breathing,1,18.0,female,Australia,South Africa,1,3.0,1,1188,100,1,31.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,7.0,1.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,1.0,5.0,5.0,3.4
R_DqaaWHXlF4nreut,macq,mindful_breathing,1,18.0,female,Australia,Australia,1,3.0,1,1014,100,1,37.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,8.0,5.0,7.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.95
R_6YIF3RawlksMDZf,wurz,loving_kindness,1,21.0,female,Germany,Germany,0,2.0,1,1446,100,1,41.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,7.0,4.0,6.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.05
R_25K1Etxpm3BVep3,quee,control_book,0,22.0,male,Australia,Singapore,1,3.0,1,1306,100,1,30.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,9.0,8.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.1
R_3DtL5ahHmeOfBt8,wurz,body_scan,1,20.0,female,Germany,Germany,0,2.0,1,1525,100,1,34.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,3.0,7.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,2.9
R_yIOJ9nt6olWrDb3,macq,control_book,0,18.0,female,Australia,Australia,1,3.0,1,1203,100,1,21.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,7.0,2.0,6.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,3.45
R_1JLLDegn3R5DStJ,wurz,loving_kindness,1,19.0,female,Germany,Germany,0,2.0,1,1493,100,1,27.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,7.0,3.0,6.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0
R_2CjMlJmvPT3uFPt,wurz,body_scan,1,23.0,male,Germany,Germany,0,2.0,1,1628,100,1,28.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,8.0,5.0,7.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.1
R_1LZ1Ntv9f60VjIn,macq,mindful_breathing,1,21.0,female,Australia,Australia,1,3.0,1,1389,100,1,38.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,7.0,6.0,6.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,3.6
R_3n7BB9vnaUjKJj8,radb,body_scan,1,19.0,female,Netherlands,Netherlands,0,2.0,1,1392,100,1,39.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,6.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,3.3
R_1KsaFW51b3uG75q,radb,loving_kindness,1,20.0,female,Netherlands,Netherlands,0,2.0,1,1507,100,1,22.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0,8.0,1.0,9.0,2.0,1.0,2.0,4.0,1.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,5.0,5.0,4.0,5.0,3.15
R_AL5J79hQFRIoZ3z,ryer,control_book,0,22.0,male,Canada,Canada,1,3.0,1,1087,100,1,40.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,7.0,5.0,6.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,5.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,2.7
R_3HXnjNEiGViKxj1,quee,mindful_breathing,1,18.0,female,Aus,Hong Kong,0,2.0,1,1128,100,1,41.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,7.0,5.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.1
R_323oyWADZ3fK9bC,spri,loving_kindness,1,19.0,female,United States,United States,1,3.0,1,1239,100,1,47.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,5.0,6.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.95
R_DcU0V757lFZYpXP,radb,body_scan,1,19.0,female,Netherlands,Netherlands,0,2.0,1,1662,100,1,34.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,7.0,3.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,2.75
R_uyqxdwOXkXv8MbT,quee,control_book,0,18.0,female,Australia,Taiwan,0,3.0,1,1625,100,1,27.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,3.0,3.0,7.0,3.0,7.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,2.85
R_2YGri2ny1kk4mli,indi,loving_kindness,1,19.0,female,United States,United States,1,2.0,1,1073,100,1,36.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,8.0,2.0,7.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,1.0,4.0,4.0,5.0,2.95
R_SZP526uS6qWHpv3,quee,mindful_breathing,1,19.0,female,Australia,Australia,1,3.0,1,32819,100,1,47.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.3
R_1DHKCVvl5OB3gIY,suny,body_scan,1,19.0,female,United States,United States,1,3.0,1,53771,100,1,30.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,7.0,2.0,7.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.45
R_2f7N3A1oLxQtT4V,illi,loving_kindness,1,18.0,female,United States,United States,1,2.0,1,1387,100,1,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,6.0,5.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,3.1
R_1pQmKEWEd6gOK7U,quee,control_book,0,19.0,female,Australia,South Korea,0,3.0,1,1170,100,1,40.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,2.75
R_1LciGRcJKmu1ral,spri,body_scan,1,19.0,female,United States,United States,1,3.0,1,1131,100,1,31.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,7.0,4.0,6.0,3.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.2
R_tYb3PhaysXudBjH,ryer,mindful_breathing,1,20.0,female,Canada,United States,1,2.0,1,1358,100,1,41.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,7.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.05
R_1dbrI7gwM2UT9dz,jose,control_book,0,19.0,female,United States,United States,0,3.0,1,1853,100,1,32.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,6.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.05
R_1IlOgLV9RS5PXPV,jose,control_book,0,19.0,female,United States,United States,1,3.0,1,1140,100,1,34.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,7.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.15
R_3j7mPgkBqU5qEbz,macq,mindful_breathing,1,29.0,female,Australia,Australia,1,3.0,1,1640,100,1,48.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,7.0,5.0,3.0,1.0,5.0,4.0,4.0,2.0,5.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,3.15
R_1g8yXfnAAWCw5CG,cali,control_book,0,18.0,female,United States,United States,1,2.0,1,1442,100,1,34.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,7.0,5.0,3.0,2.0,2.0,2.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,1.0,5.0,4.0,5.0,5.0,3.55
R_1Nhr3lH33pnUFT6,utah,control_book,0,19.0,male,United States,United States,1,3.0,1,1161,100,1,65.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.25
R_Thf6Q3yfVdjKeqd,illi,mindful_breathing,1,19.0,female,United States,United States,1,2.0,1,1433,100,1,35.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,7.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.35
R_2QAvdLc161D3iy7,macq,control_book,0,42.0,female,Australia,United Kingdom,1,3.0,1,1293,100,1,29.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,6.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.8
R_2Vq3aJZeJcr4nIB,quee,mindful_breathing,1,26.0,female,Australia,Hong Kong,0,2.0,1,1275,100,1,45.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.05
R_1LZGSVKVtSTIAdD,quee,control_book,0,18.0,male,Australia,Hong Kong,0,2.0,1,1111,100,1,35.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,6.0,2.0,5.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0
R_xlriSWkKV7VpJLP,loyo,mindful_breathing,1,19.0,female,United States,United States,1,2.0,1,1214,100,1,36.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,7.0,4.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,3.0
